模型,准确率,精准率,召回率,F1值
感知机,0.9649122807017544,0.9719626168224299,0.9719626168224299,0.9719626168224299
多层感知机,0.9766081871345029,0.9904761904761905,0.9719626168224299,0.9811320754716981
