特征名称,重要性
PoolAndYard,0.5290293080749373
isNewBuilt,0.4709706919250625
Unnamed: 0,0.0
squareMeters,0.0
numberOfRooms,0.0
floors,0.0
cityCode,0.0
cityPartRange,0.0
numPrevOwners,0.0
made,0.0
hasStormProtector,0.0
basement,0.0
attic,0.0
garage,0.0
hasStorageRoom,0.0
hasGuestRoom,0.0
