模型,准确率,精准率,召回率,F1值,支持向量数
硬间隔SVM(线性核),0.6119402985074627,0.4954128440366973,0.5242718446601942,0.5094339622641509,112
软间隔SVM(RBF核),0.8134328358208955,0.797752808988764,0.6893203883495146,0.7395833333333334,272
